indicator_type,indicator_content,domain_name
css-class,"{'country-name', 'jcarousel-control-prev', 'background', 'categories-bg', 'url', 'news-text', 'china', 'с-leader', 'text', 'c-list', 'r', 'rsa', 'pre-slider', 'close', 'search', 'field', 'country-emblem-active', 'lang-list', 'title', 'breaking-news', 'button', 'control', 'committee-link', 'committee', 'jcarousel-wrapper', 'minister-name', 'hide', 'с-emblem-center', 'jcarousel-control-next', 'india', 'news-inline', 'news-short', 'send', 'menu', 'с-emblem-right', 'threads-all', 'logo', 'russia', 'copyright', '{[flag]}', 'committee-name', 'brazil', 'map', 'countryes-menu', 'children', 'JOrth', 'news-by-category', 'committee-desc', 'footer-logo', 'country-emblem-padding', 'jcarousel-pagination', 'threads', 'brics-home', 'post', 'message', 'list', 'main', 'flag', 'с-emblem-left', 'eq-height', 'categories', 'tabs-content', 'all', 'c-flag', 'caption', 'countries', 'с-leader-img', 'country-time', 'all-pubs', 'tabs', '{[type]}', 'photo', 'view-all', 'main-slider', 'arrow', 'footer-menu', 'breaking-news-wrapper', 'col-2', 'pubs', 'news-preview', 'title-flag', 'expert-centers-padding', 'name', 'с-emblem', 'form', 'chairmanship', 'docs-list', 'jcarousel', 'minister', 'category-title-wrapper', 'comment', 'border', 'news-date', 'category-title', 'head', 'c', 'expert-centers', 'country-emblem-stat', 'overlayer', 'ic', 'w', 'current', 'country-emblem', 'col-xs-12', 'news', 'footer'}",infobrics.org
ip,172.93.121.21,
subnet,172.93.121,
whois,"{
  ""domain_name"": null,
  ""registrar"": null,
  ""whois_server"": null,
  ""referral_url"": null,
  ""updated_date"": null,
  ""creation_date"": null,
  ""expiration_date"": null,
  ""name_servers"": null,
  ""status"": null,
  ""emails"": null,
  ""dnssec"": null,
  ""name"": null,
  ""org"": null,
  ""address"": null,
  ""city"": null,
  ""state"": null,
  ""registrant_postal_code"": null,
  ""country"": null
}",oneworld.press
ga_id,UA-14540629,oneworld.press
certificate,"-----BEGIN CERTIFICATE-----
MIIFNDCCBBygAwIBAgISBA99/4kRqYOlF2Qhd+0L1jKwMA0GCSqGSIb3DQEBCwUA
MDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQD
EwJSMzAeFw0yMjEyMjgwMDM5MzRaFw0yMzAzMjgwMDM5MzNaMBkxFzAVBgNVBAMT
Dm9uZXdvcmxkLnByZXNzMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA
zsvxrZgSOHj5kcMj8Y1JCJOj8gDzdbefLWaOyrpTfS13Jlpzfu14OcWS6norC140
n8EE/0Ltnq5DFJfS+8BDMZjyPLajA1LJTy2MEav68pQHDbkD9XdcZ/K2DZ0m8soL
9IrDiSURKcYjJ84RphcxbjJDs/VDiXKbV8h7gOXi+3Ro35X4Fs9EmKv9fpW5o+WD
JzqZZbIkEKrQW0Epou4gi/MRg5C8AteOH+VYFo21QqfKp1bsCLkz4y/G+yk025r6
kDop0rjRxTP32HZ0AlIHaLcG1AxTXSxsjcLwDb4CA+R/Bk3V+tXBp4VV4Aa4RrWg
0wkDcuincua+mS6MiWQxEQIDAQABo4ICWzCCAlcwDgYDVR0PAQH/BAQDAgWgMB0G
A1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1Ud
DgQWBBTJC6fW9d1wmBKK/qi94ard0AdSNjAfBgNVHSMEGDAWgBQULrMXt1hWy65Q
CUDmH6+dixTCxjBVBggrBgEFBQcBAQRJMEcwIQYIKwYBBQUHMAGGFWh0dHA6Ly9y
My5vLmxlbmNyLm9yZzAiBggrBgEFBQcwAoYWaHR0cDovL3IzLmkubGVuY3Iub3Jn
LzArBgNVHREEJDAighAqLm9uZXdvcmxkLnByZXNzgg5vbmV3b3JsZC5wcmVzczBM
BgNVHSAERTBDMAgGBmeBDAECATA3BgsrBgEEAYLfEwEBATAoMCYGCCsGAQUFBwIB
FhpodHRwOi8vY3BzLmxldHNlbmNyeXB0Lm9yZzCCAQQGCisGAQQB1nkCBAIEgfUE
gfIA8AB1ALc++yTfnE26dfI5xbpY9Gxd/ELPep81xJ4dCYEl7bSZAAABhVZigbIA
AAQDAEYwRAIgDuRA5rVfjGBcizYJwjPnFDyyWQ0S0zwdZvTumCHc0ogCIGKti49P
cdGQ5ZCuZZXGlPDHtkQ0tTnteA+BZcnSh4JXAHcArfe++nz/EMiLnT2cHj4YarRn
KV3PsQwkyoWGNOvcgooAAAGFVmKD3wAABAMASDBGAiEAqFL2RQNXHqq+Fz28yngL
LfR5Bjdjwd18WjuuSsYmHygCIQCuUSDgrutHs4AN28ekd7GEBjr+aWw8iLuLmjky
ocYOGTANBgkqhkiG9w0BAQsFAAOCAQEAOAwUK05losf0xGvxv27oGQUrtG1q8St7
Ov6VqNV5OWMJBCZv9/7oZe+qYZqDbCIezhzW5TZqOD+CKlwtHqQnx6eXMTYX/v2b
fcsBuC9JhllbDapTXOKRwQnZtXIECXiVYY5/HWmAF4ZGFtYnaurzFUfPEszP168M
X+7PrXRJpaNN4O90BUOSpkrh0OGj5+SwqkYwt/vc2EXpWeGn3O02aqAlxMYI+tv6
pyoXA0PiVESXn7Oq/CxN9G9VDRPXo3xYii+Lmrbgl9vSzU+KQ9LAukObijuJUWDB
5iOqBQzwvICah/+88eFV4cBlwIoiJett/aod943EHkM5UEvE4ELm/A==
-----END CERTIFICATE-----
",oneworld.press
cert-domain,*.oneworld.press,oneworld.press
cert-domain, oneworld.press,oneworld.press
cdn-domain,,oneworld.press
domain_suffix,oneworld.press,oneworld.press
domain,oneworld,oneworld.press
css-class,"{'l-tail', 'no-br', 'mitem-12', 'head-menu', 'links', 'twitter-follow-button', 'list-view', 'site-form', 'teaser', 'mitem-967', 'item', 'top-theme', 'wrap', 'fas', 'cmain', 'fa-bars', 'central-sb', 'mitem-76', 'itemimage', 'title', 'date', 'form-noajax', 'submit-form', 'soclinks', 'front-articles', 'fa-chevron-left', 'mitem-215', 'f-menu', 'items', 'search-form-block', 'mitem-218', 'news-rss', 'mitem-13', 'search_text', 'fb-xfbml-parse-ignore', 'logo', 'forms-base-el--input', 'mitem-217', 'fa-twitter', 'mitem-15', 'mitem-216', 'mitem-962', 'site-wrap', 'author-name', 'content-wrap', 'mitem-129', 'anonseslistblock--rigth-sidebar', 'mitem-209', 'img', 'fa-rss', 'articles', 'right-blocks', 'menu-show-button', 'ciarticles', 'rubrics-menu', 'wrapper', 'form-item', 'right-button', 'other-content', 'arrow', 'front', 'i-title', 'site-head', 'sdescr', 'menu-line', 'el-name-query', 'middle-wrap', 'mitem-210', 'follow-us', 'fb-page', 'mitem-219', 'fa-facebook-square', 'r-tail', 'mitem-208', 'block', 'right-sb', 'smenu', 'site-search', 'a-title', 'left-button', 'article-content', 'intro', 'paginator', 'curr-date', 'fab', 'fa-chevron-right', 'content-list-pages', 'mitem-14', 'author', 'navigator', 'site-footer'}",oneworld.press
ip,192.145.97.84,
subnet,192.145.97,
whois,"{
  ""domain_name"": ""strategic-culture.org"",
  ""registrar"": ""Regional Network Information Center, JSC dba RU-CENTER"",
  ""whois_server"": ""https://www.nic.ru/whois"",
  ""referral_url"": null,
  ""updated_date"": ""2022-09-04 10:24:16"",
  ""creation_date"": ""2010-06-08 15:29:02"",
  ""expiration_date"": ""2023-06-08 15:29:02"",
  ""name_servers"": [
    ""ns3-l2.nic.ru"",
    ""ns4-cloud.nic.ru"",
    ""ns4-l2.nic.ru"",
    ""ns8-cloud.nic.ru"",
    ""ns8-l2.nic.ru""
  ],
  ""status"": ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"",
  ""emails"": ""tld-abuse@nic.ru"",
  ""dnssec"": ""unsigned"",
  ""name"": ""REDACTED FOR PRIVACY"",
  ""org"": ""Privacy protection service - whoisproxy.ru"",
  ""address"": ""REDACTED FOR PRIVACY"",
  ""city"": ""REDACTED FOR PRIVACY"",
  ""state"": ""Moscow"",
  ""registrant_postal_code"": ""REDACTED FOR PRIVACY"",
  ""country"": ""RU""
}",strategic-culture.org
meta_social,twitter:site|@Strateg_Culture,strategic-culture.org
crypto-wallet,375wuzp8HNPTkpR2WM5CxzsGyKk,strategic-culture.org
ga_id,UA-19261004,strategic-culture.org
yandex_tag_id,ym(10970266,strategic-culture.org
certificate,"-----BEGIN CERTIFICATE-----
MIIHyjCCBrKgAwIBAgIMHhaggtX3c88vpW/WMA0GCSqGSIb3DQEBCwUAMFMxCzAJ
BgNVBAYTAkJFMRkwFwYDVQQKExBHbG9iYWxTaWduIG52LXNhMSkwJwYDVQQDEyBH
bG9iYWxTaWduIEdDQyBSMyBEViBUTFMgQ0EgMjAyMDAeFw0yMjA4MDgwNzUyMDFa
Fw0yMzA5MDkwNzUyMDBaMCQxIjAgBgNVBAMTGXd3dy5zdHJhdGVnaWMtY3VsdHVy
ZS5vcmcwggIiMA0GCSqGSIb3DQEBAQUAA4ICDwAwggIKAoICAQC5Ad6s2n1bnaS3
eS40oLLtrqTaSLHVl9Le51v/5zKpQAOUDK1oJn/8eHsMEEqNzYvXGm4AxnjZyK65
jFr2tLqkc7PI11z+SSuix56zUrQxyccwykJhIKVrG2puvnYIrYEOenHBzEJ+fIc+
K1SQ5L9yUsoojPSOkJ44qQjotEckN9hVp7bzc1I5gQ2U/1kP3r3AFNI2qqT8y3Rz
9ashk8Ch614XghEXwoIN/BC9nGjGo9GSC4GKj1jnbUEfNidr5ZtFEVvEME1uUOiT
0gr7w2IB11lSVRqirdZsld735K4MdzxkRYHB0X0Ou4iI8PczyLz30A7Oqjp2j//5
jDTpyqwznwKmqnQokm3gFYTsQt1AyP5lLtnAEcaLwoZxKA+MUxMWIOwFr2Fqdry5
uPbU4pNXsaHI1MeLlIbEqXgZhznoMRKwbuVsdUVwq9AXAQeBe7zZar28yPuNo4ZQ
8gEbxsIOYBR1RDxPMz7ayrDTSfMXRbEWtQcPmr23rVoQYrhVQ9//D1jA+YzbaqlC
tiyDhj69C6xUy6v+GYAEJGWZKTee9x3gEUyC75INV45X99IjmNO7UQ30movi0UdZ
YYKVvoTw1ASdOLG/DGGk1p+cd5vGqDEUDjwrkr+aDJxFHtNunUwHmJmTDN73Sp4t
8uQIH5jLMz/31kooiCaY+eMXB2586QIDAQABo4IDyzCCA8cwDgYDVR0PAQH/BAQD
AgWgMIGTBggrBgEFBQcBAQSBhjCBgzBGBggrBgEFBQcwAoY6aHR0cDovL3NlY3Vy
ZS5nbG9iYWxzaWduLmNvbS9jYWNlcnQvZ3NnY2NyM2R2dGxzY2EyMDIwLmNydDA5
BggrBgEFBQcwAYYtaHR0cDovL29jc3AuZ2xvYmFsc2lnbi5jb20vZ3NnY2NyM2R2
dGxzY2EyMDIwMFYGA1UdIARPME0wQQYJKwYBBAGgMgEKMDQwMgYIKwYBBQUHAgEW
Jmh0dHBzOi8vd3d3Lmdsb2JhbHNpZ24uY29tL3JlcG9zaXRvcnkvMAgGBmeBDAEC
ATAJBgNVHRMEAjAAMEEGA1UdHwQ6MDgwNqA0oDKGMGh0dHA6Ly9jcmwuZ2xvYmFs
c2lnbi5jb20vZ3NnY2NyM2R2dGxzY2EyMDIwLmNybDCBmAYDVR0RBIGQMIGNghl3
d3cuc3RyYXRlZ2ljLWN1bHR1cmUub3JngiJhdXRvZGlzY292ZXIuc3RyYXRlZ2lj
LWN1bHR1cmUub3JnghptYWlsLnN0cmF0ZWdpYy1jdWx0dXJlLm9yZ4IZb3dhLnN0
cmF0ZWdpYy1jdWx0dXJlLm9yZ4IVc3RyYXRlZ2ljLWN1bHR1cmUub3JnMB0GA1Ud
JQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAfBgNVHSMEGDAWgBQNmMBzf6u9vdlH
S0mtCkoMrD7HfDAdBgNVHQ4EFgQU0AGq4tlRGPPWwyAL0PzFZV/eYNkwggF9Bgor
BgEEAdZ5AgQCBIIBbQSCAWkBZwB1AOg+0No+9QY1MudXKLyJa8kD08vREWvs62nh
d31tBr1uAAABgnxwfp8AAAQDAEYwRAIgZWAcsdTS7HRtrRizs/5KBEU2HTVkIS4P
6pJ9q3YQAkkCIFSaIO6MEpgPrZbgjKn4RKKlXBgeZ2rvmmDdPgpcQB8RAHYAb1N2
rDHwMRnYmQCkURX/dxUcEdkCwQApBo2yCJo32RMAAAGCfHB6gQAABAMARzBFAiEA
mzIewr7Hlq64200VokQfrcVZzo5GfsbLvIeDWOUDnooCIHZHsDi7wxn8+ezR84EZ
7LQ3eiDUQwq1tn6eusPIBo4AAHYAejKMVNi3LbYg6jjgUh7phBZwMhOFTTvSK8E6
V6NS61IAAAGCfHB7sAAABAMARzBFAiEA9PcGW/FhNYItYDnRw/aKTOhVx9ODmfb8
rPywdd94JY0CIAVKvQvFMixzR7xQRpwiXU93vPohVp4v6AZknK4rYJTWMA0GCSqG
SIb3DQEBCwUAA4IBAQANMpK6p/BaRGNrZWXWow288SiEJwsUcU9wY8g5LL+a3DR5
eXmmo8yQS7DXK4Qc37F3wAuOBbmowweTSlvF3QtSfSW8i0fAXT8TohhYrRY7eIqY
sCs6rsulmKmFnpINfx2c2VrGNBUQrB1/EV8EZmVbEHICAutO1QWYvuHuByFuBklC
Y3I5YN/6NI47dIW1ZEHqPIE45zySMmDtRe9JjRT6XxNRC764N5f6QaYDL/qvPL4s
wUrq7OdmOCJupz8RPkZLJi+meOGZFS5F2OKdgNaGthoQ9np4rW8fH7K41I4b7Ovs
yQv6a7UK6agtJutzcvbcD9RwPDIvKUuBOu9XAJXU
-----END CERTIFICATE-----
",strategic-culture.org
cert-domain,www.strategic-culture.org,strategic-culture.org
cert-domain, autodiscover.strategic-culture.org,strategic-culture.org
cert-domain, mail.strategic-culture.org,strategic-culture.org
cert-domain, owa.strategic-culture.org,strategic-culture.org
cert-domain, strategic-culture.org,strategic-culture.org
cdn-domain,mc.yandex.ru,strategic-culture.org
cdn-domain,strategic-culture.org,strategic-culture.org
domain_suffix,strategic-culture.org,strategic-culture.org
domain,strategic-culture,strategic-culture.org
css-class,"{'col-lg-10', 'dk-topic__author', 'dk-topic__footer-text', 'icon-rss', 'dk-preview__picture-label', 'dk-horizon_type_editors-choice', 'dk-hr_color_gray', 'dk-footer__row-special', 'dk-preview__author', 'dk-search_code_header', 'dk-social__item', 'dk-image__wrap', 'dk-footer__special', 'dk-heading__title', 'dk-header__logo', 'col-10', 'dk-date_border_top', 'dk-form__control_type_text', 'dk-topic__author-icon', 'offset-xl-1', 'dk-image', 'dk-preview__picture-header', 'row__col', 'col-xl-4', 'dk-newsletter__label-text', 'dk-footer__to-top-image', 'col-5', 'dk-header__row_type_search', 'dk-nav__dropdown-item', 'dk-preview__title', 'col-lg-8', 'col-xl-8', 'col-xl-2', 'dk-social_type_square', 'dk-footer__nav-search', 'dk-horizon__heading', 'page-id-2', 'dk-heading_type_four', 'dk-header__search', 'dk-preview__picture-content', 'col-lg-9', 'dk-slider', 'dk-preview__author-icon', 'col-lg-0', 'dk-footer__row-extra', 'page__main_bg-color_gray', 'dk-nav_type_footer', 'dk-social_color_gray', 'col-4', 'dk-header__row_type_desktop', 'dk-footer__menu', 'dk-topic_type_apart', 'dk-logo_type_red', 'dk-topic__bottom', 'dk-clamp', 'ua_js_no', 'dk-newsletter__form', 'dk-nav__sub', 'dk-featured-story__author-top', 'dk-footer__info', 'icon-youtube', 'dk-date', 'dk-social_size_s', 'dk-logo', 'i-bem', 'dk-preview__author-text', 'dk-header__search-image', 'dk-preview_align_hor', 'col-lg-11', 'dk-topic__date', 'dk-featured-story', 'dk-nav__item', 'row__col_bg-color_gray-light', 'dk-topic_size_m', 'page-template-default', 'dk-logo_type_wh', 'page__footer', 'dk-header__menu', 'dk-heading', 'dk-featured-story__author-bottom', 'dk-preview__content', 'dk-horizon', 'dk-topic__label', 'dk-footer__to-top-title', 'dk-image_type_cover', 'dk-nav_part_children', 'dk-date__icon', 'dk-header', 'dk-form__control_type_recaptcha', 'dk-search_code_mobile', 'home', 'dk-featured-story__author', 'dk-header__menu-target', 'dk-date_color_gray', 'dk-horizon__body', 'dk-form__control', 'g-recaptcha', 'dk-image__source', 'dk-footer__content', 'dk-topic__body', 'dk-topic__content', 'dk-topic', 'col-lg-1', 'dk-nav__dropdown', 'dk-featured-story__author-image', 'page__header', 'dk-social__items', 'dk-search_size_m', 'dk-header__menu-image', 'col-lg-4', 'dk-date_color_white', 'row__col_bg-color_gray-dark', 'dk-newsletter', 'row__col_display_flex', 'dk-form', 'dk-logo_type_bw', 'offset-lg-1', 'dk-slider_gradient', 'dk-search__button', 'dk-nav__top', 'dk-search_size_s', 'row', 'dk-search_code_footer', 'dk-form_hideRecaptcha', 'dk-header_fixed', 'col-lg-12', 'dk-social_size_m', 'dk-nav_type_mobile', 'dk-social_size_sm', 'dk-header__row_type_menu', 'dk-header__actions', 'dk-footer__to-top', 'dk-topic__footer', 'dk-newsletter__content', 'page__content', 'dk-topic__author-text', 'dk-footer__copyright', 'dk-header__search-target', 'dk-preview__date', 'page__main_type_narrow', 'icon-vkontakte', 'dk-preview__left', 'dk-topic__author-date', 'dk-preview_type_tile', 'dk-preview__footer-title', 'dk-date_color_red', 'dk-horizon__content', 'dk-preview__author-date', 'page__content_code_most-recent', 'dk-social', 'page__main', 'dk-topic__image', 'dk-horizon_type_video', 'menu-item', 'dk-topic__header', 'dk-preview_type_horizon', 'dk-footer__logo', 'dk-featured-story__author-text', 'dk-preview__picture-image', 'dk-newsletter__title', 'col-2', 'dk-nav_type_desktop', 'container-fluid_color_gray', 'dk-slider_arrow_horizon', 'dk-preview_type_dont-miss', 'dk-preview__right', 'dk-nav_type_footer-about', 'dk-preview_type_grid', 'icon-paper-plane', 'dk-search', 'col-lg-6', 'dk-date__text', 'dk-nav__item-text', 'dk-preview_align_ver', 'dk-social_color_red', 'menu-item-type-custom', 'align-items-center', 'dk-nav__sections', 'dk-header__row_type_mobile', 'dk-newsletter__label', 'icon-facebook', 'dk-featured-story__topic', 'offset-lg-0', 'dk-nav_part_parent', 'dk-nav__section', 'dk-form__item', 'dk-footer__disclaimer', 'dk-preview__picture-link', 'dk-preview__header', 'dk-preview__text', 'dk-nav', 'dk-recaptcha', 'dk-hr', 'dk-header__row', 'dk-horizon__header', 'dk-logo_type_hor', 'menu-item-object-custom', 'dk-form__button', 'dk-preview_padding-top-no', 'dk-heading_type_five', 'dk-logo__image', 'dk-nav__items', 'dk-horizon__preview', 'container-fluid', 'dk-preview__footer', 'dk-logo_type_light', 'dk-footer__age', 'dk-footer', 'dk-nav__sub-body', 'icon-twitter', 'dk-preview_direction_left', 'dk-preview_direction_right', 'dk-search__input', 'col-lg-2', 'dk-preview__header-title', 'dk-footer__social-age', 'justify-content-center', 'dk-image_type_simple', 'dk-nav__items_parent', 'page', 'dk-preview__picture', 'align-items-lg-center', 'offset-1', 'dk-horizon_type_dont-miss', 'dk-newsletter_type_oblong', 'dk-preview', 'page__content_code_header', 'dk-featured-story__author-title', 'dk-horizon_type_newsletter'}",strategic-culture.org
ip,31.31.203.8,
subnet,31.31.203,
whois,"{
  ""domain_name"": ""orientalreview.org"",
  ""registrar"": ""Registrar of Domain Names REG.RU LLC"",
  ""whois_server"": ""http://whois.reg.com"",
  ""referral_url"": null,
  ""updated_date"": ""2022-12-12 14:22:24"",
  ""creation_date"": ""2010-01-23 23:17:51"",
  ""expiration_date"": ""2024-01-23 23:17:51"",
  ""name_servers"": [
    ""ns5.hosting.reg.ru"",
    ""ns6.hosting.reg.ru""
  ],
  ""status"": ""clientTransferProhibited https://icann.org/epp#clientTransferProhibited"",
  ""emails"": ""abuse@reg.ru"",
  ""dnssec"": ""unsigned"",
  ""name"": ""REDACTED FOR PRIVACY"",
  ""org"": ""Privacy Protect, LLC (PrivacyProtect.org)"",
  ""address"": ""REDACTED FOR PRIVACY"",
  ""city"": ""REDACTED FOR PRIVACY"",
  ""state"": ""MA"",
  ""registrant_postal_code"": ""REDACTED FOR PRIVACY"",
  ""country"": ""US""
}",orientalreview.org
crypto-wallet,1d1ffcb3b1fc38c54e266ed85e22145a,orientalreview.org
crypto-wallet,162e857afc03d7099227097060e3363d,orientalreview.org
crypto-wallet,32c280245128502814ac141808105c55,orientalreview.org
crypto-wallet,39e1e68c33b80be64f911a4dcf8fa1a5,orientalreview.org
crypto-wallet,17d167b3e4362d38776277b690afb067,orientalreview.org
crypto-wallet,36c75f2c648d15d73f264f8052abfcf9,orientalreview.org
crypto-wallet,35fb0f50dd6a4e9d724b9c112c990f48,orientalreview.org
crypto-wallet,1db6677194dafcfde6cf882fb1d7f3e1,orientalreview.org
crypto-wallet,1a41bb131657f39ff81c463f73b23bdc,orientalreview.org
crypto-wallet,132faeafc67624c010ebf7bc59bea6bf,orientalreview.org
crypto-wallet,1b17d47630bb67c86935f2764210671e,orientalreview.org
crypto-wallet,115e6bf7daec90b8f44342b1853a4d0d,orientalreview.org
crypto-wallet,1f57b45e7ec310b629b6ff55e9df6799,orientalreview.org
crypto-wallet,1155de5d5c6da8af69508dc73c96e06d,orientalreview.org
crypto-wallet,1c75ca2ec786166ea95855da8c890bd0,orientalreview.org
crypto-wallet,38d598e1394a610aaf6fc488eaeab19b,orientalreview.org
crypto-wallet,3badf33ce91cb1c73836f9507534a080,orientalreview.org
crypto-wallet,35dee80c125fdbc9b5d671fd4ddac6fc,orientalreview.org
crypto-wallet,3e212aed4f416dcce5ae0e188e435f94,orientalreview.org
crypto-wallet,1f51e447c114dd25c93b4b989d2c79a0,orientalreview.org
crypto-wallet,111078bd4072dc3bd2842fe2ab7fb21b,orientalreview.org
crypto-wallet,17cf3f7e3b3bda5b9a5a0be31010f0cd,orientalreview.org
crypto-wallet,31d4bedb5747fbb375ef9118630790cb,orientalreview.org
crypto-wallet,3b0e342c823997fc723cdb86c16bb4c7,orientalreview.org
crypto-wallet,37b7bcea681d63774c964d69692f935b,orientalreview.org
crypto-wallet,19e6e5e6acb4ce77e0a560079fb3d410,orientalreview.org
crypto-wallet,131d4e3f62e14d10e76450ad653bb40f,orientalreview.org
crypto-wallet,3a8d8389740154296cf6df15187a0aab,orientalreview.org
crypto-wallet,1196c8d381eb5b9e802cc271253a2611,orientalreview.org
crypto-wallet,315298f8f728112a600063c2f0742f72,orientalreview.org
crypto-wallet,34288b9c1928f1cb1c3734effacdfe15,orientalreview.org
crypto-wallet,3675c7f2df7c3d4c02099b234b84b2e6,orientalreview.org
crypto-wallet,102ed08b5a68d4515bb3ad15d3535bd7,orientalreview.org
crypto-wallet,3388ff418f962a659612160abb301db7,orientalreview.org
crypto-wallet,1d2fd61cece84d79562674cda31a880e,orientalreview.org
crypto-wallet,11263cf9cd45468f0e7870fd877238e9,orientalreview.org
crypto-wallet,3d075a6c9240a7cf9159b982b925aa19,orientalreview.org
